Module, ID, Path
"Introductory Concepts", "Lookback Time Simulator", "animations/intro/lookbacktimesim.swf"
"Basic Motions & Ancient Astronomy", "Small-Angle Approximation Demonstrator", "animations/ancientastro/smallangledemo.swf"
"Basic Motions & Ancient Astronomy", "Heliacal Rising Simulator", "animations/ancientastro/heliacalrisingsim.swf"
"Basic Motions & Ancient Astronomy", "Big Dipper Clock", "animations/ancientastro/dipperclock.swf"
"Coordinates and Motions", "Meridional Altitude Simulator", "animations/coordsmotion/meridaltdiagram.swf"
"Coordinates and Motions", "Declination Ranges Simulator", "animations/coordsmotion/latsim.swf"
"Coordinates and Motions", "Ecliptic Simulator", "animations/coordsmotion/seasonsim.swf"
"Coordinates and Motions", "Union Seasons Demonstrator", "animations/coordsmotion/transitmovie.swf"
"Coordinates and Motions", "Azimuth/Altitude Demonstrator", "animations/coordsmotion/altazimuth.swf"
"Coordinates and Motions", "Daylight Simulator", "animations/coordsmotion/daylightsimulator.swf"
"Coordinates and Motions", "Obliquity Simulator", "animations/coordsmotion/obliquity.swf"
"Coordinates and Motions", "Ecliptic (Zodiac) Simulator", "animations/coordsmotion/zodiac.swf"
"Coordinates and Motions", "Longitude/Latitude Demonstrator", "animations/coordsmotion/longlat.swf"
"Coordinates and Motions", "Celestial-Equatorial (RA/Dec) Demonstrator", "animations/coordsmotion/radecdemo.swf"
"Coordinates and Motions", "Paths of the Sun", "animations/coordsmotion/sunpaths.swf"
"Coordinates and Motions", "Sun Motions Overview", "animations/coordsmotion/sunmotionsoverview.swf"
"Coordinates and Motions", "Sun Motions Demonstrator", "animations/coordsmotion/sunmotions.swf"
"Coordinates and Motions", "Sun's Rays Simulator", "animations/coordsmotion/sunsrays.swf"
"Coordinates and Motions", "Sun's Position on Horizon", "animations/coordsmotion/horizon.swf"
"Coordinates and Motions", "Big Dipper 3D", "animations/coordsmotion/bigdipper.swf"
"Coordinates and Motions", "Seasons Simulator (NAAP)", "animations/coordsmotion/eclipticsimulator.swf"
"Coordinates and Motions", "Coordinate Systems Comparison", "animations/coordsmotion/celhorcomp.swf"
"Coordinates and Motions", "Daylight Hours Explorer", "animations/coordsmotion/daylighthoursexplorer.swf"
"Coordinates and Motions", "Antipodes Explorer", "animations/coordsmotion/antipodesexplorer.swf"
"Coordinates and Motions", "Sidereal Time and Hour Angle Demonstrator", "animations/200level/siderealTimeAndHourAngleDemo.swf"
"Coordinates and Motions", "Celestial and Horizon Systems Comparison", "animations/coordsmotion/celestialhorizon.swf"
"Coordinates and Motions", "Sidereal and Solar Time Simulator", "animations/coordsmotion/siderealSolarTime.swf"
"Lunar Cycles", "Lunar Phase Vocabulary", "animations/lunarcycles/lunar_phaser.swf"
"Lunar Cycles", "Basketball Phases Simulator", "animations/lunarcycles/basketball.swf"
"Lunar Cycles", "Three Views Simulator", "animations/lunarcycles/moonphases.swf"
"Lunar Cycles", "Lunar Phases Simulator (NAAP)", "animations/lunarcycles/lunarapplet.swf"
"Lunar Cycles", "Moon Inclination", "animations/lunarcycles/mooninc.swf"
"Lunar Cycles", "Eclipse Table", "animations/lunarcycles/eclipsetable.swf"
"Lunar Cycles", "Eclipse Shadow Simulator", "animations/lunarcycles/shadowsim.swf"
"Lunar Cycles", "Tidal Bulge Simulation", "animations/lunarcycles/tidesim.swf"
"Lunar Cycles", "Phase Positions Demonstrator", "animations/lunarcycles/phaseDemonstrator.swf"
"Lunar Cycles", "Moon Phases and the Horizon Diagram", "animations/lunarcycles/positionsdemonstrator.swf"
"Lunar Cycles", "Synodic Lag", "animations/lunarcycles/synodiclag.swf"
"Lunar Cycles", "Full Moon Declination Simulator", "animations/lunarcycles/fullmoondec.swf"
"Lunar Cycles", "Lunar Phase Quizzer", "animations/lunarcycles/lunarphasequizzer.swf"
"Lunar Cycles", "Moon Phases With Bisectors", "animations/lunarcycles/moonbisector.swf"
"Renaissance Astronomy", "Phases of Venus", "animations/renaissance/venusphases.swf"
"Renaissance Astronomy", "Ptolemaic Phases of Venus", "animations/renaissance/ptolemaic.swf"
"Renaissance Astronomy", "Ptolemaic Orbit of Mars", "animations/renaissance/marsorbit.swf"
"Renaissance Astronomy", "Epicycles Demo", "animations/renaissance/pathtracer.swf"
"Renaissance Astronomy", "Retrograde Motion", "animations/renaissance/retrograde.swf"
"Renaissance Astronomy", "Kepler's Third Law", "animations/renaissance/keplers_third.swf"
