Module, ID, Path
"Introductory Concepts", "Determination of Unknown Density", "images/intro/density_determination.jpg"
"Basic Motions & Ancient Astronomy", "Angular Diameter", "images/ancientastro/angulardiameter.jpg"
"Basic Motions & Ancient Astronomy", "Fist Angle", "images/ancientastro/fistangle.jpg"
"Basic Motions & Ancient Astronomy", "Arcsecond Diagram", "images/ancientastro/arcseconddiagram.jpg"
"Coordinates and Motions", "Declination", "images/coordsmotion/declination.jpg"
"Coordinates and Motions", "Ecliptic", "images/coordsmotion/ecliptic.jpg"
"Coordinates and Motions", "Polar Rotation", "images/coordsmotion/polarrotation.jpg"
"Coordinates and Motions", "Right Ascension", "images/coordsmotion/rightascen.jpg"
"Coordinates and Motions", "North Celestial Pole", "images/coordsmotion/startrails.jpg"
"Coordinates and Motions", "Time Zones", "images/coordsmotion/timezones.jpg"
"Coordinates and Motions", "Solar Architecture", "images/coordsmotion/solararchitecture.jpg"
"Lunar Cycles", "Lunar Cycles", "images/lunarcycles/lunarcycles.jpg"
"Lunar Cycles", "Lunar Sidereal Period", "images/lunarcycles/sidereal.jpg"
"Lunar Cycles", "Lunar Synodic Period", "images/lunarcycles/synodic.jpg"
"Lunar Cycles", "Lunar Rotation", "images/lunarcycles/rotation.jpg"
"Lunar Cycles", "Tides", "images/lunarcycles/tides.jpg"
"Lunar Cycles", "Types of Shadow", "images/lunarcycles/umbrapenumbra.jpg"
"Lunar Cycles", "Lunar Eclipse I", "images/lunarcycles/lunareclipse.jpg"
"Lunar Cycles", "Lunar Eclipse Sequence 2004", "images/lunarcycles/lunareclipse2004.jpg"
"Lunar Cycles", "Lunar Eclipse 2008", "images/lunarcycles/lunareclipse2008.jpg"
"Lunar Cycles", "Total Solar Eclipse", "images/lunarcycles/solareclipse.jpg"
"Lunar Cycles", "Annular Solar Eclipse", "images/lunarcycles/solareclipse2.jpg"
"Lunar Cycles", "Annular Solar Eclipse 1994", "images/lunarcycles/solareclipse1994.jpg"
"Lunar Cycles", "Total Solar Eclipse 1999", "images/lunarcycles/solareclipse1999.jpg"
"Lunar Cycles", "Solar Eclipse from Mir 1999", "images/lunarcycles/solareclipse1999mir.jpg"
"Lunar Cycles", "Total Solar Eclipse 2008", "images/lunarcycles/solareclipse2008.jpg"
"Lunar Cycles", "Solar Eclipse Paths", "images/lunarcycles/seatlas2001.jpg"
"Lunar Cycles", "Line of Nodes", "images/lunarcycles/nodes.jpg"
"Lunar Cycles", "Pot Pie Phases", "images/lunarcycles/potpie.jpg"
"Renaissance Astronomy", "Aberration Diagram", "images/renaissance/aberrationdiagram.jpg"
"Renaissance Astronomy", "Retrograde", "images/renaissance/retrograde.jpg"
"Light & Spectra", "Checkbook Analogy", "images/light/checkbook.jpg"
"Light & Spectra", "Doppler Effect", "images/light/dopplereffect.jpg"
"Light & Spectra", "Electromagnetic Spectrum", "images/light/electromagneticspectrum.jpg"
"Light & Spectra", "Electromagnetic Wave", "images/light/electromagneticwave.jpg"
"Light & Spectra", "Hydrogen Bohr Transitions", "images/light/hydrogenbohrtransitions.jpg"
"Light & Spectra", "Hydrogen Electron Clouds", "images/light/hydrogenelectronclouds.jpg"
"Light & Spectra", "Hydrogen Spectrum", "images/light/hydrogenspectrum.jpg"
"Light & Spectra", "Solar Spectrum", "images/light/solarspectrum.jpg"
"Light & Spectra", "Wave Properties", "images/light/wave.jpg"
"Light & Spectra", "Radar Gun Doppler Shift", "images/light/radargun.jpg"
"Light & Spectra", "Gas Density and Orbital Energies", "images/light/gasdensity.jpg"
"Sun and Solar Energy", "Hydrostatic Equilibrium in a Star", "images/sunsolarenergy/hydrostaticequilibrium.jpg"
"Sun and Solar Energy", "Fusion Reaction", "images/sunsolarenergy/fusion.jpg"
"Stellar Properties", "Distance Scale", "images/stellarprops/distancescale.jpg"
"Stellar Properties", "Parallax Example", "images/stellarprops/parallaxexample.jpg"
"Stellar Properties", "Parallax", "images/stellarprops/parallax.jpg"
"Stellar Properties", "Spectral Classification", "images/stellarprops/spectralclassification.jpg"
"Stellar Properties", "Stellar Motion on the Celestial Sphere", "images/stellarprops/propermotion.jpg"
"Binary and Variable Stars", "Distance Modulus", "images/binaryvariablestars/distancemodulus.jpg"
"Binary and Variable Stars", "Binary Star Center of Mass Analogy", "images/binaryvariablestars/binarystarseesaw.jpg"
"Binary and Variable Stars", "Optical Doubles and Visual Binaries", "images/binaryvariablestars/opticaldoublesandvisualbinaries.jpg"
"Jovian Planets", "Roemer's Speed of Light", "images/jovianplanets/roemer_speedoflight.jpg"
"Jovian Planets", "Saturn in a Bathtub", "images/jovianplanets/saturnbathtub.jpg"
"Solar System Debris", "Comet Trajectory", "images/solarsystemdebris/comettrajectory.jpg"
"Solar System Debris", "Kirkwood Gaps", "images/solarsystemdebris/kirkwoodgaps.jpg"
"Light and Spectra Concepts Inventory", "Doppler Effect", "images/light/dopplereffect.jpg"
"Light and Spectra Concepts Inventory", "Electromagnetic Spectrum", "images/light/electromagneticspectrum.jpg"
"Light and Spectra Concepts Inventory", "Electromagnetic Wave", "images/light/electromagneticwave.jpg"
"Light and Spectra Concepts Inventory", "Hydrogen Bohr Transitions", "images/light/hydrogenbohrtransitions.jpg"
"Light and Spectra Concepts Inventory", "Hydrogen Electron Clouds", "images/light/hydrogenelectronclouds.jpg"
"Light and Spectra Concepts Inventory", "Hydrogen Spectrum", "images/light/hydrogenspectrum.jpg"
