Module, ID, Path
"Introductory Concepts", "Density Definition", "outlines/intro/density.jpg"
"Introductory Concepts", "Scientific Notation", "outlines/intro/sci_not.jpg"
"Introductory Concepts", "Metric Prefixes", "outlines/intro/metric_prefixes.jpg"
"Introductory Concepts", "Scientific Notation Math", "outlines/intro/math_in_sci_not.jpg"
"Introductory Concepts", "The AU, lightyear,  and parsec", "outlines/intro/special_units.jpg"
"Coordinates and Motions", "Ecliptic Definition", "outlines/coordsmotion/ecliptic.jpg"
"Coordinates and Motions", "Angular Measurements", "outlines/coordsmotion/ang_meas.jpg"
"Coordinates and Motions", "Basic Motions in the Sky", "outlines/coordsmotion/basic_motions.jpg"
"Coordinates and Motions", "Basic Motions in the Sky Explained", "outlines/coordsmotion/basic_motions_exp.jpg"
"Coordinates and Motions", "Terrestrial Coordinates", "outlines/coordsmotion/slide1.jpg"
"Coordinates and Motions", "Parallels of Latitude", "outlines/coordsmotion/slide2.jpg"
"Coordinates and Motions", "Celestial Equatorial Coordinates", "outlines/coordsmotion/slide3.jpg"
"Coordinates and Motions", "Ecliptic", "outlines/coordsmotion/slide4.jpg"
"Coordinates and Motions", "Horizon Coordinates", "outlines/coordsmotion/slide5.jpg"
"Coordinates and Motions", "Declination Ranges", "outlines/coordsmotion/slide6.jpg"
"Coordinates and Motions", "Meridional Altitude", "outlines/coordsmotion/slide7.jpg"
"Lunar Cycles", "Phases of the Moon", "outlines/lunarcycles/slide1.jpg"
"Lunar Cycles", "Rising/Meridian/Setting Times", "outlines/lunarcycles/slide2.jpg"
"Lunar Cycles", "Lunar Periods", "outlines/lunarcycles/slide3.jpg"
"Lunar Cycles", "Lunar Eclipses", "outlines/lunarcycles/slide4.jpg"
"Lunar Cycles", "Solar Eclipses", "outlines/lunarcycles/slide5.jpg"
"Lunar Cycles", "Tides", "outlines/lunarcycles/slide6.jpg"
"Renaissance Astronomy", "Kepler's Laws", "outlines/renaissance/slide1.jpg"
"Renaissance Astronomy", "Newton's Laws", "outlines/renaissance/slide2.jpg"
"Renaissance Astronomy", "Newton's Law of Gravity", "outlines/renaissance/slide3.jpg"
"Renaissance Astronomy", "Sidereal and Synodic Periods", "outlines/renaissance/slide4.jpg"
"Renaissance Astronomy", "Elongation Configurations for Inferior Planets", "outlines/renaissance/slide5.jpg"
"Renaissance Astronomy", "Elongation Configurations for Superior Planets", "outlines/renaissance/slide6.jpg"
"Renaissance Astronomy", "Ellipse Geometry", "outlines/renaissance/ellipse.jpg"
"Light & Spectra", "Inverse Square Law", "outlines/light/light_intensity.jpg"
