Module, ID, Path
"Introductory Concepts", "Common Densities", "tables/intro/densities.jpg"
"Introductory Concepts", "Distance Units", "tables/intro/distanceunits.jpg"
"Introductory Concepts", "Solar System Lookback Times", "tables/intro/lookback_solar.jpg"
"Introductory Concepts", "Distant Lookback Times", "tables/intro/lookback_distant.jpg"
"Introductory Concepts", "Metric Prefixes", "tables/intro/si_prefixes.jpg"
"Introductory Concepts", "Metric Units", "tables/intro/si_units.jpg"
"Basic Motions & Ancient Astronomy", "Angular Diameter", "tables/ancientastro/ang_diam.jpg"
"Sun and Solar Energy", "Solar Composition", "tables/sunsolarenergy/solar_comp.jpg"
"Sun and Solar Energy", "Solar Properties", "tables/sunsolarenergy/solar_props.jpg"
"Stellar Properties", "Distance Modulus", "tables/stellarprops/dismodtable.jpg"
"Stellar Properties", "Magnitude and Intensity", "tables/stellarprops/maginttable.jpg"
